id,topic,question,answer,commands,source,timestamp
1,Git,What is the difference between git pull and git fetch?,git fetch downloads changes from the remote repository but does not merge them into your current branch. git pull downloads changes and automatically merges them into your current branch. git pull = git fetch + git merge.,"git fetch origin
git pull origin main
git merge origin/main",https://stackoverflow.com/questions/292357/what-is-the-difference-between-git-pull-and-git-fetch,2025-06-18T15:50:10.575797
2,Git,How do you create and switch to a new branch in Git?,"You can create a new branch using git branch <branch-name> and then switch to it using git checkout <branch-name>. Alternatively, you can do both in one command using git checkout -b <branch-name>.","git branch feature-branch
git checkout feature-branch
git checkout -b feature-branch",https://stackoverflow.com/questions/1394797/how-to-create-a-branch-in-git,2025-06-18T15:50:10.575797
3,Git,How do you undo the last commit in Git?,"To undo the last commit while keeping changes staged, use git reset --soft HEAD~1. To undo and unstage changes, use git reset HEAD~1. To completely remove the commit and changes, use git reset --hard HEAD~1.","git reset --soft HEAD~1
git reset HEAD~1
git reset --hard HEAD~1",https://stackoverflow.com/questions/927358/how-to-undo-the-most-recent-commits-in-git,2025-06-18T15:50:10.575797
4,Git,How do you resolve merge conflicts in Git?,"When a merge conflict occurs, Git marks the conflicted areas in the files. You need to manually edit the files to resolve conflicts, then add and commit the resolved files.","git status
git add conflicted-file.txt
git commit -m ""Resolve merge conflict""",https://stackoverflow.com/questions/161813/how-to-resolve-merge-conflicts-in-git,2025-06-18T15:50:10.575797
5,Git,How do you revert a commit that has already been pushed?,Use git revert to create a new commit that undoes the changes from a previous commit. This is safer than git reset when the commit has been shared.,"git revert <commit-hash>
git revert HEAD",https://stackoverflow.com/questions/1270514/undoing-a-git-push,2025-06-18T15:50:10.575797
6,Git,What is the difference between git pull and git fetch?,git fetch downloads changes from the remote repository but does not merge them into your current branch. git pull downloads changes and automatically merges them into your current branch. git pull = git fetch + git merge.,"git fetch origin
git pull origin main
git merge origin/main",https://stackoverflow.com/questions/292357/what-is-the-difference-between-git-pull-and-git-fetch,2025-06-18T15:50:10.575797
7,Git,How do you create and switch to a new branch in Git?,"You can create a new branch using git branch <branch-name> and then switch to it using git checkout <branch-name>. Alternatively, you can do both in one command using git checkout -b <branch-name>.","git branch feature-branch
git checkout feature-branch
git checkout -b feature-branch",https://stackoverflow.com/questions/1394797/how-to-create-a-branch-in-git,2025-06-18T15:50:10.575797
8,Git,How do you undo the last commit in Git?,"To undo the last commit while keeping changes staged, use git reset --soft HEAD~1. To undo and unstage changes, use git reset HEAD~1. To completely remove the commit and changes, use git reset --hard HEAD~1.","git reset --soft HEAD~1
git reset HEAD~1
git reset --hard HEAD~1",https://stackoverflow.com/questions/927358/how-to-undo-the-most-recent-commits-in-git,2025-06-18T15:50:10.575797
9,Git,How do you resolve merge conflicts in Git?,"When a merge conflict occurs, Git marks the conflicted areas in the files. You need to manually edit the files to resolve conflicts, then add and commit the resolved files.","git status
git add conflicted-file.txt
git commit -m ""Resolve merge conflict""",https://stackoverflow.com/questions/161813/how-to-resolve-merge-conflicts-in-git,2025-06-18T15:50:10.575797
10,Git,How do you revert a commit that has already been pushed?,Use git revert to create a new commit that undoes the changes from a previous commit. This is safer than git reset when the commit has been shared.,"git revert <commit-hash>
git revert HEAD",https://stackoverflow.com/questions/1270514/undoing-a-git-push,2025-06-18T15:50:10.575797
11,Git,What is the difference between git pull and git fetch?,git fetch downloads changes from the remote repository but does not merge them into your current branch. git pull downloads changes and automatically merges them into your current branch. git pull = git fetch + git merge.,"git fetch origin
git pull origin main
git merge origin/main",https://stackoverflow.com/questions/292357/what-is-the-difference-between-git-pull-and-git-fetch,2025-06-18T15:50:10.575797
12,Git,How do you create and switch to a new branch in Git?,"You can create a new branch using git branch <branch-name> and then switch to it using git checkout <branch-name>. Alternatively, you can do both in one command using git checkout -b <branch-name>.","git branch feature-branch
git checkout feature-branch
git checkout -b feature-branch",https://stackoverflow.com/questions/1394797/how-to-create-a-branch-in-git,2025-06-18T15:50:10.575797
13,Git,How do you undo the last commit in Git?,"To undo the last commit while keeping changes staged, use git reset --soft HEAD~1. To undo and unstage changes, use git reset HEAD~1. To completely remove the commit and changes, use git reset --hard HEAD~1.","git reset --soft HEAD~1
git reset HEAD~1
git reset --hard HEAD~1",https://stackoverflow.com/questions/927358/how-to-undo-the-most-recent-commits-in-git,2025-06-18T15:50:10.575797
14,Git,How do you resolve merge conflicts in Git?,"When a merge conflict occurs, Git marks the conflicted areas in the files. You need to manually edit the files to resolve conflicts, then add and commit the resolved files.","git status
git add conflicted-file.txt
git commit -m ""Resolve merge conflict""",https://stackoverflow.com/questions/161813/how-to-resolve-merge-conflicts-in-git,2025-06-18T15:50:10.575797
15,Git,How do you revert a commit that has already been pushed?,Use git revert to create a new commit that undoes the changes from a previous commit. This is safer than git reset when the commit has been shared.,"git revert <commit-hash>
git revert HEAD",https://stackoverflow.com/questions/1270514/undoing-a-git-push,2025-06-18T15:50:10.575797
16,Git,What is the difference between git pull and git fetch?,git fetch downloads changes from the remote repository but does not merge them into your current branch. git pull downloads changes and automatically merges them into your current branch. git pull = git fetch + git merge.,"git fetch origin
git pull origin main
git merge origin/main",https://stackoverflow.com/questions/292357/what-is-the-difference-between-git-pull-and-git-fetch,2025-06-18T15:50:10.575797
17,Git,How do you create and switch to a new branch in Git?,"You can create a new branch using git branch <branch-name> and then switch to it using git checkout <branch-name>. Alternatively, you can do both in one command using git checkout -b <branch-name>.","git branch feature-branch
git checkout feature-branch
git checkout -b feature-branch",https://stackoverflow.com/questions/1394797/how-to-create-a-branch-in-git,2025-06-18T15:50:10.575797
18,Git,How do you undo the last commit in Git?,"To undo the last commit while keeping changes staged, use git reset --soft HEAD~1. To undo and unstage changes, use git reset HEAD~1. To completely remove the commit and changes, use git reset --hard HEAD~1.","git reset --soft HEAD~1
git reset HEAD~1
git reset --hard HEAD~1",https://stackoverflow.com/questions/927358/how-to-undo-the-most-recent-commits-in-git,2025-06-18T15:50:10.575797
